fecha_in,tc_in,fecha_bx,tc_bx
23/11/1993,3.1000,23/11/1993,3.1003
24/11/1993,3.1000,24/11/1993,3.1021
25/11/1993,3.1100,25/11/1993,3.1168
26/11/1993,3.1100,26/11/1993,3.1125
29/11/1993,3.1100,29/11/1993,3.1065
30/11/1993,3.1050,30/11/1993,3.1042
01/12/1993,3.1000,01/12/1993,3.1034
02/12/1993,3.1000,02/12/1993,3.1037
03/12/1993,3.1000,03/12/1993,3.1036
06/12/1993,3.1050,06/12/1993,3.1052
07/12/1993,3.1050,07/12/1993,3.1047
08/12/1993,3.1050,08/12/1993,3.1047
09/12/1993,3.1050,09/12/1993,3.1075
10/12/1993,3.1100,10/12/1993,3.1169
13/12/1993,3.1100,13/12/1993,3.1130
14/12/1993,3.1100,14/12/1993,3.1118
15/12/1993,3.1050,15/12/1993,3.1065
16/12/1993,3.1050,16/12/1993,3.1053
17/12/1993,3.1050,17/12/1993,3.1055
20/12/1993,3.1050,20/12/1993,3.1114
21/12/1993,3.1150,21/12/1993,3.1111
22/12/1993,3.1050,22/12/1993,3.1155
23/12/1993,3.1050,23/12/1993,3.1110
24/12/1993,3.1050,24/12/1993,3.1059
27/12/1993,3.1050,27/12/1993,3.1056
28/12/1993,3.1100,28/12/1993,3.1059
29/12/1993,3.1100,29/12/1993,3.1099
30/12/1993,3.1100,30/12/1993,3.1071
03/01/1994,3.1100,03/01/1994,3.1075
04/01/1994,3.1050,04/01/1994,3.1129
05/01/1994,3.1100,05/01/1994,3.1060
06/01/1994,3.1050,06/01/1994,3.1057
07/01/1994,3.1050,07/01/1994,3.1057
10/01/1994,3.1150,10/01/1994,3.1150
11/01/1994,3.1100,11/01/1994,3.1098
12/01/1994,3.1100,12/01/1994,3.1094
13/01/1994,3.1100,13/01/1994,3.1061
14/01/1994,3.1100,14/01/1994,3.1088
17/01/1994,3.1100,17/01/1994,3.1061
18/01/1994,3.1050,18/01/1994,3.1058
19/01/1994,3.1050,19/01/1994,3.1056
20/01/1994,3.1050,20/01/1994,3.1060
21/01/1994,3.1100,21/01/1994,3.1055
24/01/1994,3.1050,24/01/1994,3.1056
25/01/1994,3.1050,25/01/1994,3.1058
26/01/1994,3.1050,26/01/1994,3.1064
27/01/1994,3.1100,27/01/1994,3.1063
28/01/1994,3.1050,28/01/1994,3.1059
31/01/1994,3.1050,31/01/1994,3.1054
01/02/1994,3.1050,01/02/1994,3.1050
02/02/1994,3.1000,02/02/1994,3.1053
03/02/1994,3.1050,03/02/1994,3.1056
04/02/1994,3.1050,04/02/1994,3.1056
07/02/1994,3.1050,07/02/1994,3.1056
08/02/1994,3.1050,08/02/1994,3.1058
09/02/1994,3.1050,09/02/1994,3.1055
10/02/1994,3.1050,10/02/1994,3.1050
11/02/1994,3.1050,11/02/1994,3.1050
14/02/1994,3.1050,14/02/1994,3.1055
15/02/1994,3.1050,15/02/1994,3.1050
16/02/1994,3.1100,16/02/1994,3.1055
17/02/1994,3.1050,17/02/1994,3.1053
18/02/1994,3.1050,18/02/1994,3.1057
21/02/1994,3.1050,21/02/1994,3.1061
22/02/1994,3.1150,22/02/1994,3.1110
23/02/1994,3.1250,23/02/1994,3.1179
24/02/1994,3.1800,24/02/1994,3.2075
25/02/1994,3.1700,25/02/1994,3.2113
28/02/1994,3.1700,28/02/1994,3.1933
01/03/1994,3.1950,01/03/1994,3.1944
02/03/1994,3.2400,02/03/1994,3.2663
03/03/1994,3.2550,03/03/1994,3.2513
04/03/1994,3.2350,04/03/1994,3.2355
07/03/1994,3.2400,07/03/1994,3.2520
08/03/1994,3.2650,08/03/1994,3.2565
09/03/1994,3.2750,09/03/1994,3.3150
10/03/1994,3.2800,10/03/1994,3.2888
11/03/1994,3.2700,11/03/1994,3.3025
14/03/1994,3.2800,14/03/1994,3.2849
15/03/1994,3.3100,15/03/1994,3.3106
16/03/1994,3.3050,16/03/1994,3.3033
17/03/1994,3.3100,17/03/1994,3.3043
18/03/1994,3.3200,18/03/1994,3.3248
22/03/1994,3.3400,22/03/1994,3.3326
23/03/1994,3.3350,23/03/1994,3.3353
25/03/1994,3.3550,25/03/1994,3.3586
28/03/1994,3.3550,28/03/1994,3.3598
29/03/1994,3.3600,29/03/1994,3.3500
30/03/1994,3.3600,30/03/1994,3.3606
04/04/1994,3.3563,04/04/1994,3.3626
05/04/1994,3.3605,05/04/1994,3.3630
06/04/1994,3.3570,06/04/1994,3.3615
07/04/1994,3.3604,07/04/1994,3.3630
08/04/1994,3.3642,08/04/1994,3.3642
11/04/1994,3.3623,11/04/1994,3.3654
12/04/1994,3.3631,12/04/1994,3.3657
13/04/1994,3.3637,13/04/1994,3.3660
14/04/1994,3.3638,14/04/1994,3.3666
15/04/1994,3.3643,15/04/1994,3.3670
18/04/1994,3.3657,18/04/1994,3.3682
19/04/1994,3.3661,19/04/1994,3.3686
20/04/1994,3.3665,20/04/1994,3.3690
21/04/1994,3.3667,21/04/1994,3.3694
22/04/1994,3.3618,22/04/1994,3.3679
