id,Port Name,State,Port Code,Border,Date,Measure,Value
10324,Pembina,North Dakota,3401,US-Canada Border,2019/01/02,Trains,93
10325,Progreso,Texas,2309,US-Mexico Border,2019/01/02,Truck Containers Empty,1929
10326,Lancaster,Minnesota,3430,US-Canada Border,2019/01/02,Truck Containers Empty,270
10327,Massena,New York,704,US-Canada Border,2019/01/02,Pedestrians,6
10328,Richford,Vermont,203,US-Canada Border,2019/01/02,Train Passengers,30
10329,Sweetgrass,Montana,3310,US-Canada Border,2019/01/02,Personal Vehicle Passengers,21545
10330,Oroville,Washington,3019,US-Canada Border,2019/01/02,Personal Vehicles,9083
10331,Ogdensburg,New York,701,US-Canada Border,2019/01/02,Personal Vehicle Passengers,32000
10332,Metaline Falls,Washington,3025,US-Canada Border,2019/01/02,Truck Containers Full,21
10333,Vanceboro,Maine,105,US-Canada Border,2019/01/02,Pedestrians,1
10334,Neche,North Dakota,3404,US-Canada Border,2019/01/02,Personal Vehicle Passengers,3342
10335,Sweetgrass,Montana,3310,US-Canada Border,2019/01/02,Trains,20
10336,Eastport,Idaho,3302,US-Canada Border,2019/01/02,Truck Containers Full,3592
10337,Derby Line,Vermont,209,US-Canada Border,2019/01/02,Buses,126
10338,El Paso,Texas,2402,US-Mexico Border,2019/01/02,Trucks,65977
10339,Andrade,California,2502,US-Mexico Border,2019/01/02,Personal Vehicle Passengers,86294
10340,Champlain-Rouses Point,New York,712,US-Canada Border,2019/01/02,Bus Passengers,13353
10341,Presidio,Texas,2403,US-Mexico Border,2019/01/02,Personal Vehicle Passengers,106569
10342,Willow Creek,Montana,3325,US-Canada Border,2019/01/02,Personal Vehicles,143
10343,Lancaster,Minnesota,3430,US-Canada Border,2019/01/02,Truck Containers Full,51
10344,Raymond,Montana,3301,US-Canada Border,2019/01/02,Trucks,1303
10345,Maida,North Dakota,3416,US-Canada Border,2019/01/02,Truck Containers Full,6
10346,Alcan,Alaska,3104,US-Canada Border,2019/01/02,Pedestrians,42
10347,Dalton Cache,Alaska,3106,US-Canada Border,2019/01/02,Personal Vehicle Passengers,777
10348,Grand Portage,Minnesota,3613,US-Canada Border,2019/01/02,Personal Vehicle Passengers,21244
10349,Sweetgrass,Montana,3310,US-Canada Border,2019/01/02,Trucks,9952
10350,Portal,North Dakota,3403,US-Canada Border,2019/01/02,Trucks,6218
10351,Detroit,Michigan,3801,US-Canada Border,2019/01/02,Truck Containers Empty,39058
10352,Calais,Maine,115,US-Canada Border,2019/01/02,Trains,20
10353,Douglas,Arizona,2601,US-Mexico Border,2019/01/02,Personal Vehicles,125735
10354,Ferry,Washington,3013,US-Canada Border,2019/01/02,Trucks,4
10355,Alexandria Bay,New York,708,US-Canada Border,2019/01/02,Personal Vehicles,27726
10356,Van Buren,Maine,108,US-Canada Border,2019/01/02,Personal Vehicle Passengers,12591
10357,Highgate Springs-Alburg,Vermont,212,US-Canada Border,2019/01/02,Trucks,7258
10358,Warroad,Minnesota,3423,US-Canada Border,2019/01/02,Trucks,546
10359,Alcan,Alaska,3104,US-Canada Border,2019/01/02,Personal Vehicles,827
10360,Trout River,New York,715,US-Canada Border,2019/01/02,Personal Vehicle Passengers,12327
10361,Otay Mesa,California,2506,US-Mexico Border,2019/01/02,Bus Passengers,1690
10362,Ogdensburg,New York,701,US-Canada Border,2019/01/02,Truck Containers Full,2484
10363,Blaine,Washington,3004,US-Canada Border,2019/01/02,Personal Vehicles,240329
10364,Progreso,Texas,2309,US-Mexico Border,2019/01/02,Truck Containers Full,2819
10365,Grand Portage,Minnesota,3613,US-Canada Border,2019/01/02,Bus Passengers,925
10366,Nogales,Arizona,2604,US-Mexico Border,2019/01/02,Personal Vehicle Passengers,491112
10367,Sherwood,North Dakota,3414,US-Canada Border,2019/01/02,Personal Vehicles,917
10368,San Luis,Arizona,2608,US-Mexico Border,2019/01/02,Truck Containers Empty,723
10369,Piegan,Montana,3316,US-Canada Border,2019/01/02,Personal Vehicles,2824
10370,Neche,North Dakota,3404,US-Canada Border,2019/01/02,Truck Containers Full,252
10371,Norton,Vermont,211,US-Canada Border,2019/01/02,Trains,16
10372,Scobey,Montana,3309,US-Canada Border,2019/01/02,Truck Containers Empty,31
10373,St. John,North Dakota,3405,US-Canada Border,2019/01/02,Personal Vehicles,681
10374,Detroit,Michigan,3801,US-Canada Border,2019/01/02,Rail Containers Empty,3167
10375,Lynden,Washington,3023,US-Canada Border,2019/01/02,Buses,3
10376,Port Huron,Michigan,3802,US-Canada Border,2019/01/02,Personal Vehicles,81764
10377,Walhalla,North Dakota,3407,US-Canada Border,2019/01/02,Truck Containers Full,168
10378,Calais,Maine,115,US-Canada Border,2019/01/02,Trucks,4217
10379,Baudette,Minnesota,3424,US-Canada Border,2019/01/02,Pedestrians,8
10380,Pembina,North Dakota,3401,US-Canada Border,2019/01/02,Rail Containers Empty,1178
10381,Boundary,Washington,3015,US-Canada Border,2019/01/02,Rail Containers Full,576
10382,Sumas,Washington,3009,US-Canada Border,2019/01/02,Buses,20
10383,Oroville,Washington,3019,US-Canada Border,2019/01/02,Buses,13
10384,Roseau,Minnesota,3426,US-Canada Border,2019/01/02,Bus Passengers,27
10385,Sumas,Washington,3009,US-Canada Border,2019/01/02,Rail Containers Empty,219
10386,Metaline Falls,Washington,3025,US-Canada Border,2019/01/02,Personal Vehicle Passengers,4329
10387,Port Huron,Michigan,3802,US-Canada Border,2019/01/02,Truck Containers Empty,15030
10388,Baudette,Minnesota,3424,US-Canada Border,2019/01/02,Bus Passengers,138
10389,Calais,Maine,115,US-Canada Border,2019/01/02,Truck Containers Full,2814
10390,Turner,Montana,3306,US-Canada Border,2019/01/02,Truck Containers Full,9
10391,Hannah,North Dakota,3408,US-Canada Border,2019/01/02,Personal Vehicles,49
10392,Champlain-Rouses Point,New York,712,US-Canada Border,2019/01/02,Truck Containers Full,20952
10393,Warroad,Minnesota,3423,US-Canada Border,2019/01/02,Truck Containers Full,162
10394,Point Roberts,Washington,3017,US-Canada Border,2019/01/02,Personal Vehicle Passengers,78093
10395,El Paso,Texas,2402,US-Mexico Border,2019/01/02,Trains,122
10396,Noonan,North Dakota,3420,US-Canada Border,2019/01/02,Truck Containers Full,27
10397,Turner,Montana,3306,US-Canada Border,2019/01/02,Bus Passengers,48
10398,San Ysidro,California,2504,US-Mexico Border,2019/01/02,Personal Vehicle Passengers,1731228
10399,Dalton Cache,Alaska,3106,US-Canada Border,2019/01/02,Truck Containers Full,6
10400,Northgate,North Dakota,3406,US-Canada Border,2019/01/02,Pedestrians,12
10401,Turner,Montana,3306,US-Canada Border,2019/01/02,Pedestrians,16
10402,Lynden,Washington,3023,US-Canada Border,2019/01/02,Pedestrians,35
10403,Santa Teresa,New Mexico,2408,US-Mexico Border,2019/01/02,Truck Containers Empty,1320
10404,Carbury,North Dakota,3421,US-Canada Border,2019/01/02,Personal Vehicles,913
10405,Blaine,Washington,3004,US-Canada Border,2019/01/02,Truck Containers Empty,6225
10406,Sumas,Washington,3009,US-Canada Border,2019/01/02,Train Passengers,18
10407,Highgate Springs-Alburg,Vermont,212,US-Canada Border,2019/01/02,Rail Containers Full,1301
10408,Richford,Vermont,203,US-Canada Border,2019/01/02,Trains,20
10409,Roosville,Montana,3318,US-Canada Border,2019/01/02,Truck Containers Full,440
10410,Jackman,Maine,104,US-Canada Border,2019/01/02,Trains,35
10411,Porthill,Idaho,3308,US-Canada Border,2019/01/02,Pedestrians,10
10412,Port Angeles,Washington,3007,US-Canada Border,2019/01/02,Truck Containers Empty,4
10413,Morgan,Montana,3319,US-Canada Border,2019/01/02,Personal Vehicles,299
10414,Rio Grande City,Texas,2307,US-Mexico Border,2019/01/02,Truck Containers Full,2655
10415,Dunseith,North Dakota,3422,US-Canada Border,2019/01/02,Personal Vehicle Passengers,5350
10416,Hidalgo,Texas,2305,US-Mexico Border,2019/01/02,Pedestrians,156891
10417,Grand Portage,Minnesota,3613,US-Canada Border,2019/01/02,Personal Vehicles,10527
10418,Richford,Vermont,203,US-Canada Border,2019/01/02,Personal Vehicle Passengers,9823
10419,Highgate Springs-Alburg,Vermont,212,US-Canada Border,2019/01/02,Train Passengers,46
10420,Oroville,Washington,3019,US-Canada Border,2019/01/02,Trucks,1959
10421,Alcan,Alaska,3104,US-Canada Border,2019/01/02,Trucks,397
10422,Santa Teresa,New Mexico,2408,US-Mexico Border,2019/01/02,Personal Vehicle Passengers,86086
10423,Sweetgrass,Montana,3310,US-Canada Border,2019/01/02,Personal Vehicles,10355
10424,Portal,North Dakota,3403,US-Canada Border,2019/01/02,Personal Vehicles,3465
10425,Pembina,North Dakota,3401,US-Canada Border,2019/01/02,Rail Containers Full,9087
